sku,url_key,errors
JS00TWK8-0D5,black-label-superbreak-tahitian-orange,
JS00TWK8-05F,black-label-superbreak-turkish-ocean,
JS00T60G-05B,black-label-superbreak-violet-purple,
JS00T60G-WHX,black-label-superbreak-white,
JS00T68S-008,broadband-black,
JS00T29A-1K2,city-scout-/-mamoth-bluefluoresctpink,
JS00T29A-0DH,city-scout-amazon-green,
JS00T29A-008,city-scout-black,
JS00T29A-0VK,city-scout-black-moving-dots,
JS00T29A-04W,city-scout-field-tan,
JS00T29A-1Q4,city-scout-fluorescent-red,
JS00T29A-5KS,city-scout-high-risk-red,
JS00T29A-0FZ,city-scout-multi-marble-prism,
T29A-0AN,city-scout-multi-watercolor-spots,
JS00T29A-0VZ,city-scout-multi-white-floral-haze,
JS00T29A-003,city-scout-navy,
JS00T29A-ZR6,city-scout-new-blck-fluorescent-pink,
JS00T29A-0D6,city-scout-seafoam-green,
JS00T29A-0K4,city-scout-shady-grey-/-white-dots,
JS00T29A-01H,city-scout-spanish-teal,
JS00T29A-9FL,city-scout-viking-red,
JS0A2SDD-008,cool-student-black,
JS0A2SDD-6XD,cool-student-forge-grey,
JS0A2SDD-0KL,cool-student-multi-concrete-floral,
JS0A2SDD-0E9,cool-student-multi-sunset-stripe,
JS0A2SDD-0D9,cool-student-multi-watercolor-floral,
JS0A2SDD-003,cool-student-navy,
JS0A2SDD-9FL,cool-student-viking-red,
T52R-9ZI,cortlandt-berrylicious-purple,
T52R-008,cortlandt-black,
T52R-ZD7,cortlandt-high-risk-red-shady-angles,
T52R-9RW,cortlandt-mammoth-blue,
JS00T52R-003,cortlandt-navy,
T52R-ZK8,cortlandt-navy-streaky-camo,
T52R-1Q1,cortlandt-pesto-green,
JS00T52R-0XT,cortlandt-shady-grey/seafoam-green,
T52R-ZK1,cortlandt-shadygreysprinkled-floral,
T08T-9ZI,crossland-berrylicious-purple,
T08T-1J6,crossland-grey-denim-polka-dot,
T08T-1V5,crossland-white-blue-wash-vintage-floral-canvas,
TZP5-7TN,daily-transit-white-/-blackcosmozebra-/-primalpurple,
T50F-9ZG,digibreak-aqua-dash,
JS00T50F-008,digibreak-black,
JS00T50F-7TS,digibreak-black-blue-streak,
T50F-0AA,digibreak-black-lucky-daisy,
JS00T50F-09L,digibreak-blue-digi-stripe-fade,
T50F-5CS,digibreak-blue-streak,
JS00T50F-05W,digibreak-burnt-henna-abstrct-angles,
JS00T50F-0JB,digibreak-coral-sparkle-pretty-posey,
JS00T50F-0NR,digibreak-coral-sparkle-white-dots,
JS00T50F-01B,digibreak-cyber-pink,
JS00T50F-0ED,digibreak-cyber-pink-summer-chevron,
T50F-9RX,digibreak-fluorescent-pink,
T50F-ZG8,digibreak-green-machine-topo-camo,
