sku,additional_attributes
T27A-212,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=iPad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T27A"
T27A-ZM0,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=iPad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T27A"
T27A-6XJ,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=iPad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T27A"
T12J-6XJ,"peso=3.5 oz / 0.1 kg,tela=100 % Polyester Felt,capacidad=Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits Apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T12J"
JS00T69J-0WJ,"peso=7.4 oz / 0.21 kg,tela=900 Denier Polyester / Acrylic / 600 Denier Polyster / 100% Polyester / Synthetic Leather,capacidad=488 cu in / 8 L,dimensiones=13"" x 9.5"" x 1.25"" / 33 x 25 x 3 cm,laptop_size=0,bullet=0,bullet_ingles=One large main compartment with drawstring closure / Snapflap Clousure for added security / Zippered stash pocket / Premium specialty fabrics / Fringe tassle / Web haul handle.,shop_by=,device=,device_size=0,size=,type=DIGITAL,style=JS00T69J"
JS00T69J-0LM,"peso=7.4 oz / 0.21 kg,tela=900 Denier Polyester / Acrylic / 600 Denier Polyster / 100% Polyester / Synthetic Leather,capacidad=488 cu in / 8 L,dimensiones=13"" x 9.5"" x 1.25"" / 33 x 25 x 3 cm,laptop_size=0,bullet=0,bullet_ingles=One large main compartment with drawstring closure / Snapflap Clousure for added security / Zippered stash pocket / Premium specialty fabrics / Fringe tassle / Web haul handle.,shop_by=,device=,device_size=0,size=,type=DIGITAL,style=JS00T69J"
JS00T69J-0TR,"peso=7.4 oz / 0.21 kg,tela=900 Denier Polyester / Acrylic / 600 Denier Polyster / 100% Polyester / Synthetic Leather,capacidad=488 cu in / 8 L,dimensiones=13"" x 9.5"" x 1.25"" / 33 x 25 x 3 cm,laptop_size=0,bullet=0,bullet_ingles=One large main compartment with drawstring closure / Snapflap Clousure for added security / Zippered stash pocket / Premium specialty fabrics / Fringe tassle / Web haul handle.,shop_by=,device=,device_size=0,size=,type=DIGITAL,style=JS00T69J"
JS00T69J-0LN,"peso=7.4 oz / 0.21 kg,tela=900 Denier Polyester / Acrylic / 600 Denier Polyster / 100% Polyester / Synthetic Leather,capacidad=488 cu in / 8 L,dimensiones=13"" x 9.5"" x 1.25"" / 33 x 25 x 3 cm,laptop_size=0,bullet=0,bullet_ingles=One large main compartment with drawstring closure / Snapflap Clousure for added security / Zippered stash pocket / Premium specialty fabrics / Fringe tassle / Web haul handle.,shop_by=,device=,device_size=0,size=,type=DIGITAL,style=JS00T69J"
JS00T69J-0FF,"peso=7.4 oz / 0.21 kg,tela=900 Denier Polyester / Acrylic / 600 Denier Polyster / 100% Polyester / Synthetic Leather,capacidad=488 cu in / 8 L,dimensiones=13"" x 9.5"" x 1.25"" / 33 x 25 x 3 cm,laptop_size=0,bullet=0,bullet_ingles=One large main compartment with drawstring closure / Snapflap Clousure for added security / Zippered stash pocket / Premium specialty fabrics / Fringe tassle / Web haul handle.,shop_by=,device=,device_size=0,size=,type=DIGITAL,style=JS00T69J"
JS00T69J-0U3,"peso=7.4 oz / 0.21 kg,tela=900 Denier Polyester / Acrylic / 600 Denier Polyster / 100% Polyester / Synthetic Leather,capacidad=488 cu in / 8 L,dimensiones=13"" x 9.5"" x 1.25"" / 33 x 25 x 3 cm,laptop_size=0,bullet=0,bullet_ingles=One large main compartment with drawstring closure / Snapflap Clousure for added security / Zippered stash pocket / Premium specialty fabrics / Fringe tassle / Web haul handle.,shop_by=,device=,device_size=0,size=,type=DIGITAL,style=JS00T69J"
JS00T14F-008,"peso=1 lb 9 oz / 0.7 kg,tela=0,capacidad=0,dimensiones=0,laptop_size=0,bullet=0,bullet_ingles=0,shop_by=,device=,device_size=0,size=,type=,style=JS00T14F"
JS00T14F-0UT,"peso=1 lb 9 oz / 0.7 kg,tela=0,capacidad=0,dimensiones=0,laptop_size=0,bullet=0,bullet_ingles=0,shop_by=,device=,device_size=0,size=,type=,style=JS00T14F"
JS00T14F-0UY,"peso=1 lb 9 oz / 0.7 kg,tela=0,capacidad=0,dimensiones=0,laptop_size=0,bullet=0,bullet_ingles=0,shop_by=,device=,device_size=0,size=,type=,style=JS00T14F"
JS00T14F-0XN,"peso=1 lb 9 oz / 0.7 kg,tela=0,capacidad=0,dimensiones=0,laptop_size=0,bullet=0,bullet_ingles=0,shop_by=,device=,device_size=0,size=,type=,style=JS00T14F"
T26L-9ER,"peso=1 lb 3 oz / 0.5 kg,tela=600 Denier Polyester/ Faux Leather,capacidad=1800 cu in / 30 L,dimensiones=18.5'' X 12'' X 7'' / 47 X 31 X 18 cm,laptop_size=12.5"" x 11"" x 1"" / 32 x 28 x 3 cm,bullet=Imitacion de cuero Premium en la parte inferior / Compartimiento interno acolchado para una laptop de 15'' / Bolsillo frontal con organizador y tablet sleeve / Compartimiento principal grande / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal para cargador / Panel trasero acolchado / Bolsillo de maya para botella de agua.,bullet_ingles=Premiun faux leather bottom and trim details -Internal sleeve fits 15"" laptop -One large main compartment -Straight-cu, padded shoulder straps -Tree front zippered pockets -2/3 padded back panel -Web haul handle,shop_by=EVERYDAY|WORK,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=LARGE,type=CLASSIC,style=T26L"
T26L-008,"peso=1 lb 3 oz / 0.5 kg,tela=600 Denier Polyester/ Faux Leather,capacidad=1800 cu in / 30 L,dimensiones=18.5'' X 12'' X 7'' / 47 X 31 X 18 cm,laptop_size=12.5"" x 11"" x 1"" / 32 x 28 x 3 cm,bullet=Imitacion de cuero Premium en la parte inferior / Compartimiento interno acolchado para una laptop de 15'' / Bolsillo frontal con organizador y tablet sleeve / Compartimiento principal grande / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal para cargador / Panel trasero acolchado / Bolsillo de maya para botella de agua.,bullet_ingles=Premiun faux leather bottom and trim details -Internal sleeve fits 15"" laptop -One large main compartment -Straight-cu, padded shoulder straps -Tree front zippered pockets -2/3 padded back panel -Web haul handle,shop_by=EVERYDAY|WORK,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=LARGE,type=CLASSIC,style=T26L"
